date,heatindex_max,heatindex_min,heatindex_mea,heatwave_has,heatwaveduration_sum,heatwaveintensity_ind,coldwave_has,coldwaveduration_sum,coldwaveintensity_ind,spi_ind,elnino_ind
2023-07-23,26.000000000000007,13.2,18.091666666666665,0,0,0.0,0,0,0.0,-0.6566403303936201,1.07
2023-07-24,25.900000000000002,14.6,19.391666666666666,0,0,0.0,0,0,0.0,-0.6566403303936201,1.07
2023-07-25,26.3,14.4,19.354166666666668,0,0,0.0,0,0,0.0,-0.6322382338869508,1.07
2023-07-26,26.6957182644245,14.000000000000002,19.612488114831024,0,0,0.0,0,0,0.0,-0.6322382338869508,1.07
2023-07-27,24.0,16.3,18.470833333333335,0,0,0.0,0,0,0.0,-0.6322382338869508,1.07
2023-07-28,26.199999999999996,16.6,19.495833333333334,0,0,0.0,0,0,0.0,-0.6566403303936201,1.07
2023-07-29,17.7,12.5,14.533333333333333,0,0,0.0,0,0,0.0,-0.9618185776774704,1.07
2023-07-30,16.5,12.2,13.737499999999999,0,0,0.0,0,0,0.0,-1.6902773533996431,1.07
2023-07-31,24.6,14.3,17.070833333333333,0,0,0.0,0,0,0.0,-1.6902773533996431,1.07
2023-08-01,22.600000000000005,12.899999999999999,16.829166666666666,0,0,0.0,0,0,0.0,-0.6910433673047193,1.32
2023-08-02,27.824858449475585,13.8,19.3003694670263,0,0,0.0,0,0,0.0,-0.7648156545041839,1.32
2023-08-03,27.362774587537835,14.200000000000001,19.32997802992445,0,0,0.0,0,0,0.0,-0.7648156545041839,1.32
2023-08-04,21.1,11.8,15.878260869565217,0,0,0.0,0,0,0.0,-0.7399885941531117,1.32
2023-08-05,26.000000000000007,12.3,17.833333333333332,0,0,0.0,0,0,0.0,-0.6910433673047196,1.32
2023-08-06,27.820616623357818,12.1,19.006234333353984,0,0,0.0,0,0,0.0,-0.6669138807939723,1.32
2023-08-07,28.352749585271116,15.500000000000004,21.927104141593247,0,0,0.0,0,0,0.0,-0.6669138807939723,1.32
2023-08-08,18.6,15.599999999999998,16.537499999999998,0,0,0.0,0,0,0.0,-2.1157170752850183,1.32
2023-08-09,20.4,15.599999999999998,16.845833333333335,0,0,0.0,0,0,0.0,-0.8927429578637764,1.32
2023-08-10,23.299999999999997,15.399999999999999,18.316666666666666,0,0,0.0,0,0,0.0,-0.866629776209495,1.32
2023-08-11,28.127941467555534,16.1,19.657775526916296,0,0,0.0,0,0,0.0,-0.5494895620332201,1.32
2023-08-12,23.8,15.500000000000004,17.770833333333332,0,0,0.0,0,0,0.0,-0.18439385440451314,1.32
2023-08-13,17.0,13.000000000000004,15.333333333333334,0,0,0.0,0,0,0.0,-0.14438948964585868,1.32
2023-08-14,16.1,13.000000000000004,14.458333333333334,0,0,0.0,0,0,0.0,-0.10492761589714787,1.32
2023-08-15,22.200000000000003,14.4,17.037499999999998,0,0,0.0,0,0,0.0,-0.10492761589714787,1.32
2023-08-16,25.600000000000005,16.900000000000002,19.866666666666667,0,0,0.0,0,0,0.0,-0.10492761589714787,1.32
2023-08-17,27.03779605156449,16.7,21.250661403305926,0,0,0.0,0,0,0.0,-0.12459193909943785,1.32
2023-08-18,28.323827372017846,16.900000000000002,22.18163780762649,0,0,0.0,0,0,0.0,-0.2661106733148197,1.32
2023-08-19,25.500000000000004,16.3,21.375,0,0,0.0,0,0,0.0,-0.30786647672852824,1.32
2023-08-20,25.600000000000005,15.1,19.175,0,0,0.0,0,0,0.0,-0.30786647672852824,1.32
2023-08-21,26.629206586524443,16.5,20.917734034943333,0,0,0.0,0,0,0.0,-0.30786647672852824,1.32
2023-08-22,28.70197933587557,15.599999999999998,21.291756222466116,0,0,0.0,0,0,0.0,-0.3289788633162555,1.32
2023-08-23,30.355396076071163,20.0,24.690635938133067,0,0,0.0,0,0,0.0,-0.3289788633162555,1.32
